"Year"	"AreaName"	"MapCode"	"ProductionType"	"AggregatedInstalledCapacity"	"NetGen_entsoe_powerstat"	"TSOs"	"JRC database"	"Geth et al."	"highRES_Europe"														"h"																												
2015	"Malta"	"MT"	"Hydro Water Reservoir"			0			0																																										
2015	"Malta"	"MT"	"Hydro Run-of-river and poundage"			0			0																																										
2015	"Malta"	"MT"	"Hydro Pumped Storage"			0			0																																										
2015	"Netherlands"	"NL"	"Hydro Water Reservoir"	0					0																																										
2015	"Netherlands"	"NL"	"Hydro Pumped Storage"	0					0																																										
2015	"Netherlands"	"NL"	"Hydro Run-of-river and poundage"	38					38																																										
2019	"Innlandet"	"NO020"	"Hydro Water Reservoir"						"1004.7"																																										
2019	"Innlandet"	"NO020"	"Hydro Run-of-river and poundage"						"1418.508"																																										
2019	"Trøndelag"	"NO060"	"Hydro Water Reservoir"						"894.1"																																										
2019	"Trøndelag"	"NO060"	"Hydro Run-of-river and poundage"						"1018.2563"																																										
2019	"Nordland"	"NO071"	"Hydro Water Reservoir"						"3088.7299"																																										
2019	"Nordland"	"NO071"	"Hydro Run-of-river and poundage"						"870.2057"																																										
2019	"Troms og Finnmark"	"NO074"	"Hydro Water Reservoir"						579																																										
2019	"Troms og Finnmark"	"NO074"	"Hydro Run-of-river and poundage"						"429.847"																																										
2019	"Oslo"	"NO081"	"Hydro Water Reservoir"						0																																										
2019	"Oslo"	"NO081"	"Hydro Run-of-river and poundage"						"4.7"																																										
2019	"Viken"	"NO082"	"Hydro Water Reservoir"						"990.5"																																										
2019	"Viken"	"NO082"	"Hydro Run-of-river and poundage"						"2305.1224"																																										
2019	"Vestfold og Telemark"	"NO091"	"Hydro Water Reservoir"						"2261.95"																																										
2019	"Vestfold og Telemark"	"NO091"	"Hydro Run-of-river and poundage"						"414.4202"																																										
2019	"Agder"	"NO092"	"Hydro Water Reservoir"						"2470.4999"																																										
2019	"Agder"	"NO092"	"Hydro Run-of-river and poundage"						"1015.193"																																										
2019	"Rogaland"	"NO0A1"	"Hydro Water Reservoir"						"2843.9"																																										
2019	"Rogaland"	"NO0A1"	"Hydro Run-of-river and poundage"						"1112.6346"																																										
2019	"Vestland"	"NO0A2"	"Hydro Water Reservoir"						"4705.94"																																										
2019	"Vestland"	"NO0A2"	"Hydro Run-of-river and poundage"						"4463.0181"																																										
2019	"Møre og Romsdal"	"NO0A3"	"Hydro Water Reservoir"						"835.9"																																										
2019	"Møre og Romsdal"	"NO0A3"	"Hydro Run-of-river and poundage"						"716.7155"																																										
2015	"Norway"	"NO"	"Hydro Water Reservoir"	"26909.5"		23572			23572																																										
2015	"Norway"	"NO"	"Hydro Run-of-river and poundage"	"1351.8"		7552			7552																																										
2015	"Norway"	"NO"	"Hydro Pumped Storage"	0	"31,200.00"	1343			1343																																										
2015	"Poland"	"PL"	"Hydro Water Reservoir"	"156.17"	378				"156.17"																																										
2015	"Poland"	"PL"	"Hydro Pumped Storage"	"1770.12"	175				"1770.12"																																										
2015	"Poland"	"PL"	"Hydro Run-of-river and poundage"	"377.84"	401				"377.84"																																										
2015	"Portugal"	"PT"	"Hydro Water Reservoir"	"1436.2"	"1,511.00"				"1436.2"																																										
2015	"Portugal"	"PT"	"Hydro Pumped Storage"	"1245.2"	"1,779.00"				"1245.2"																																										
2015	"Portugal"	"PT"	"Hydro Run-of-river and poundage"	2979	"2,866.00"				2979																																										
